CustomerID,CustomerName,Address,Order1ID,Order1Date,Order1Item,Order1Qty,Order2ID,Order2Date,Order2Item,Order2Qty
1,Wendy Johnson,"951 Smith Keys, Millerborough, WV 58660",2001,2024-05-31,Advanced Widget C,3,2002,2024-05-04,Advanced Widget B,4
2,Kevin Ayala,"Unit 8193 Box 8897, DPO AA 16461",2003,2024-05-31,Basic Widget D,6,2004,2024-05-07,Premium Widget B,5
3,Barbara Tran,"USCGC Graham, FPO AA 78684",2005,2024-05-25,Basic Widget C,10,2006,2024-05-27,Premium Widget D,8
4,Gary Ross,"570 Peterson Park, Port Joseph, MD 04795",2007,2024-05-18,Advanced Widget C,8,2008,2024-05-22,Advanced Widget D,1
5,Bryan Wallace,"40717 Camacho Inlet Apt. 639, South Jeremyville, KY 08155",2009,2024-05-03,Advanced Widget D,4,,,,
6,Angel Bailey,"0424 Scott Trace, South Vickietown, FL 35353",2011,2024-05-19,Advanced Widget C,3,2012,2024-05-03,Basic Widget D,4
7,Kimberly Brooks,"1905 Brandon Summit, South Moniquefort, WI 64462",2013,2024-05-16,Premium Widget D,8,2014,2024-05-16,Premium Widget C,5
8,Steven Harris,"7057 Nicholas Causeway, Lake Wendybury, OH 68024",2015,2024-05-07,Basic Widget A,9,2016,2024-05-13,Advanced Widget B,2
9,Gregory Morris,"091 Gonzalez Mill, South Kevin, MO 80230",2017,2024-05-29,Basic Widget C,3,,,,
10,Anthony King,"51373 Woodward Tunnel Suite 710, Sweeneymouth, SC 01132",2019,2024-05-02,Basic Widget D,5,2020,2024-05-14,Basic Widget A,1
11,Lee Sanchez,"84314 Johnson Way Suite 030, East Tracyberg, TX 09942",2021,2024-05-18,Advanced Widget B,6,2022,2024-05-13,Premium Widget C,1
12,Ricky Chavez,"360 Nicole Walks, West James, RI 41756",2023,2024-05-28,Basic Widget A,8,,,,
13,Faith Harris,"50643 Fernandez Lodge Apt. 527, New Justin, OR 55562",2025,2024-05-12,Basic Widget D,9,,,,
14,Nancy Warren,"362 Stewart Walk Suite 969, Port Karen, MS 15055",2027,2024-05-11,Basic Widget B,1,2028,2024-05-20,Basic Widget B,3
15,Lisa Rice,"039 Austin Glen, South Virginia, DC 43547",2029,2024-05-25,Premium Widget A,4,2030,2024-05-24,Advanced Widget B,4
16,Bruce Mcdonald,"03337 Jessica Pike Apt. 677, Wilsonside, TN 18325",2031,2024-05-12,Basic Widget C,5,2032,2024-05-14,Basic Widget A,1
17,Sandra Lang,"87500 Isaac Squares Suite 210, New Brooke, WV 11192",2033,2024-05-26,Advanced Widget D,5,2034,2024-05-17,Premium Widget D,4
18,Tara Ward,"6911 Kimberly Crossing, New Ericmouth, NY 89442",2035,2024-05-22,Basic Widget D,9,2036,2024-05-08,Basic Widget A,5
19,Dana Rivera,"084 Guzman Spring Suite 151, West Cynthiaview, NY 99110",2037,2024-05-31,Advanced Widget C,6,,,,
20,Catherine Howard,"8064 James Pike, Chavezberg, CO 67236",2039,2024-05-04,Premium Widget C,8,2040,2024-05-15,Premium Widget D,1
21,Jason Gardner,"277 Anthony Cove Suite 998, North Zoefurt, DC 58492",2041,2024-05-08,Advanced Widget A,4,2042,2024-05-31,Basic Widget C,8
